"","Average","Complete","Single","Ward"
"1",510.802612645263,510.802612645263,319.27056833903,453.157581351667
"2",216.993946468164,228.468943149708,149.231297821586,304.392514841549
"3",869.12441367961,869.12441367961,894.180818609983,857.150495927756
"4",222.003756983973,251.787448494522,182.567988952499,256.527505896203
"5",139.12307275503,139.12307275503,184.392735588685,105.573704420426
"6",20.0025143296727,58.7915662679489,55.1865920617086,50.8521616106843
"7",48.1670605257489,48.1670605257489,57.5112299001508,59.7999994895507
"8",37.09072291895,37.09072291895,56.1562930745955,42.6398821473925
"9",227.797383794976,77.4499744764321,53.3007667592616,44.3378647770555
"10",87.8692778451422,79.4838177726796,83.6509548323587,148.980372739893
"11",567.435244454043,693.396598702815,545.451617447038,878.113604536099
"12",334.889111148743,446.898663298532,353.911964008901,310.004512257502
"13",52.6423263476533,117.821286724754,251.364089289887,97.2903968594847
"14",262.053236950181,124.925153795913,212.457595242668,267.516644772945
"15",749.490998444183,857.042091676099,993.548260736792,399.690585633836
